ticker,company_name,max_down_streak,avg_down_streak,total_down_streaks,entropy
KVUE,Kenvue Inc.,9,6.125,8,1.811278124459133
BKNG,Booking Holdings Inc.,8,6.090909090909091,11,1.8230679822736613
CAH,"Cardinal Health, Inc.",9,6.090909090909091,11,1.8230679822736613
ROST,"Ross Stores, Inc.",8,6.090909090909091,11,1.8230679822736613
TSN,"Tyson Foods, Inc.",12,6.363636363636363,11,1.8230679822736613
EL,The Estée Lauder Companies Inc.,8,6.153846153846154,13,1.83392721764183
INVH,Invitation Homes Inc.,8,6.076923076923077,13,1.83392721764183
FIS,"Fidelity National Information Services, Inc.",9,6.214285714285714,14,1.8352377453121176
ROL,"Rollins, Inc.",8,6.222222222222222,9,1.836591668108979
BR,"Broadridge Financial Solutions, Inc.",9,6.111111111111111,9,1.8365916681089793
STLD,"Steel Dynamics, Inc.",8,6.0,9,1.8365916681089793
AEE,Ameren Corporation,9,6.0,16,1.8419171866886994
KDP,Keurig Dr Pepper Inc.,10,6.428571428571429,7,1.8423709931771086
ABBV,AbbVie Inc.,8,6.142857142857143,7,1.8423709931771088
LULU,Lululemon Athletica Inc.,9,6.142857142857143,7,1.8423709931771088
CTRA,Coterra Energy Inc.,8,6.3,10,1.8464393446710154
CDNS,"Cadence Design Systems, Inc.",8,6.0,10,1.8464393446710157
CVS,CVS Health Corporation,8,6.1,10,1.8464393446710157
PSA,Public Storage,11,6.8,10,1.8464393446710157
VLO,Valero Energy Corporation,8,6.166666666666667,12,1.8553885422075338
SPGI,S&P Global Inc.,11,6.133333333333334,15,1.856564762130954
MCK,McKesson Corporation,8,6.090909090909091,11,1.8585552118703144
PRU,"Prudential Financial, Inc.",10,6.2727272727272725,11,1.867633890971212
ED,"Consolidated Edison, Inc.",11,6.636363636363637,11,1.8676338909712122
UPS,"United Parcel Service, Inc.",10,6.2727272727272725,11,1.8676338909712122
AOS,A. O. Smith Corporation,10,6.0,18,1.876357639489852
GILD,"Gilead Sciences, Inc.",9,6.111111111111111,9,1.879964948727111
BAC,Bank of America Corporation,9,5.95,20,1.8804820237218405
CNC,Centene Corporation,8,6.111111111111111,9,1.8910611120726528
PTC,PTC Inc.,11,6.666666666666667,9,1.8910611120726528
CHTR,"Charter Communications, Inc.",9,6.153846153846154,13,1.8919954870390203
ENPH,"Enphase Energy, Inc.",11,6.230769230769231,13,1.8919954870390203
TECH,Bio-Techne Corporation,9,6.0,13,1.8919954870390203
PSX,Phillips 66,8,6.4,10,1.8954618442383218
AMT,American Tower Corporation,9,6.0,17,1.9015064025015063
ALL,The Allstate Corporation,10,6.5,8,1.9056390622295665
ISRG,"Intuitive Surgical, Inc.",11,6.833333333333333,6,1.9182958340544896
MMM,3M Company,10,8.0,6,1.9182958340544896
EXR,Extra Space Storage Inc.,14,6.666666666666667,12,1.9591479170272443
CAG,"Conagra Brands, Inc.",9,6.2,10,1.9609640474436811
XOM,Exxon Mobil Corporation,10,6.2,10,1.9609640474436811
NKE,"NIKE, Inc.",12,6.4,15,1.965596230357602
MA,Mastercard Incorporated,9,6.25,8,2.0
MRNA,"Moderna, Inc.",9,6.190476190476191,21,2.034709089239382
JNJ,Johnson & Johnson,10,6.461538461538462,13,2.0381596816459533
IQV,IQVIA Holdings Inc.,11,6.5,12,2.054585169337799
MDT,Medtronic plc,10,6.5,12,2.054585169337799
SCHW,The Charles Schwab Corporation,11,6.333333333333333,12,2.054585169337799
LH,Labcorp Holdings Inc.,9,6.3,10,2.1219280948873624
RVTY,"Revvity, Inc.",9,6.375,16,2.126614471810182
PLD,"Prologis, Inc.",9,6.461538461538462,13,2.1339375660949167
LNT,Alliant Energy Corporation,10,6.25,16,2.1467822215997985
AON,Aon plc,9,6.375,8,2.1556390622295667
CLX,The Clorox Company,10,6.625,8,2.1556390622295667
FFIV,"F5, Inc.",10,6.625,8,2.1556390622295667
HCA,"HCA Healthcare, Inc.",9,6.75,8,2.1556390622295667
SBUX,Starbucks Corporation,12,7.0,9,2.197159723424149
EIX,Edison International,11,7.3,10,2.3219280948873626
UHS,"Universal Health Services, Inc.",11,6.833333333333333,12,2.396240625180289
GIS,"General Mills, Inc.",11,7.0,8,2.4056390622295667
